date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.893722,2,0.680851,0.029633,0.533175,0.002009,0.524599,0.41886,0
0.893722,2,0.702128,0.035757,0.572597,0.002447,0.553599,0.375439,0
0.893722,2,0.723404,0.059235,0.651741,0.004063,0.620404,0.350877,1
0.893722,2,0.744681,0.077129,0.728503,0.005276,0.703263,0.336404,1
0.893722,2,0.765957,0.074667,0.729545,0.005081,0.695495,0.352632,1
0.893722,2,0.787234,0.050648,0.709313,0.004159,0.657172,0.349123,1
0.893722,2,0.808511,0.040801,0.676138,0.003045,0.618074,0.362719,0
0.893722,2,0.829787,0.030743,0.645195,0.00209,0.585189,0.327193,0
0.893722,2,0.851064,0.029693,0.63017,0.002019,0.558519,0.360526,0
0.893722,2,0.87234,0.029272,0.601309,0.001986,0.530295,0.349123,0
0.893722,2,0.893617,0.029152,0.568581,0.001967,0.500259,0.406579,0
0.893722,2,0.914894,0.028642,0.528563,0.001959,0.463749,0.432456,0
0.893722,2,0.93617,0.029152,0.559506,0.001992,0.440963,0.449123,0
0.893722,2,0.957447,0.029062,0.565457,0.001963,0.418177,0.433333,0
0.893722,2,0.978723,0.044644,0.560547,0.003035,0.473589,0.461404,1
0.893722,2,1.0,0.053621,0.565308,0.003616,0.469705,0.507456,1
0.893766,3,0.0,0.054612,0.542696,0.003689,0.454687,0.576316,1
0.893766,3,0.021277,0.041431,0.528414,0.002678,0.434749,0.598684,1
0.893766,3,0.042553,0.054431,0.493752,0.003606,0.494303,0.492544,1
0.893766,3,0.06383,0.041071,0.44332,0.002717,0.48291,0.536404,1
0.893766,3,0.085106,0.038189,0.38679,0.002495,0.449249,0.582456,0
0.893766,3,0.106383,0.032275,0.330556,0.002158,0.414811,0.595614,0
0.893766,3,0.12766,0.034646,0.288605,0.002219,0.380632,0.559211,0
0.893766,3,0.148936,0.028972,0.240107,0.001886,0.362248,0.610965,0
0.893766,3,0.170213,0.029663,0.233859,0.001919,0.344381,0.651754,0
0.893766,3,0.191489,0.028972,0.239958,0.001867,0.331434,0.701754,0
0.893766,3,0.212766,0.029302,0.264951,0.001894,0.338944,0.685526,0
0.893766,3,0.234043,0.042692,0.311514,0.002189,0.344381,0.694737,1
0.893766,3,0.255319,0.21022,0.400327,0.003201,0.415329,0.572807,1
0.893766,3,0.276596,0.061547,0.49524,0.00409,0.468669,0.536842,1
0.893766,3,0.297872,0.029212,0.531836,0.001965,0.509839,0.396491,0
0.893766,3,0.319149,0.056953,0.611723,0.003847,0.575091,0.372368,1
0.893766,3,0.340426,0.078149,0.667658,0.005312,0.624806,0.392105,1
0.893766,3,0.361702,0.089348,0.687147,0.006074,0.649663,0.379386,1
0.893766,3,0.382979,0.076798,0.694585,0.005214,0.662092,0.405702,1
0.893766,3,0.404255,0.07845,0.67837,0.005282,0.652253,0.42807,1
0.893766,3,0.425532,0.076528,0.665873,0.005104,0.637235,0.439474,1
0.893766,3,0.446809,0.077339,0.638054,0.00515,0.629726,0.474561,1
0.893766,3,0.468085,0.073586,0.621095,0.004859,0.614448,0.435088,1
0.893766,3,0.489362,0.074907,0.609045,0.004985,0.618332,0.497807,1
0.893766,3,0.510638,0.067581,0.597739,0.004495,0.591403,0.499561,1
0.893766,3,0.531915,0.069323,0.588367,0.004705,0.58985,0.483772,1
0.893766,3,0.553191,0.072325,0.58435,0.004817,0.600466,0.447807,1
0.893766,3,0.574468,0.071424,0.574234,0.004757,0.606422,0.467982,1
0.893766,3,0.595745,0.063108,0.563969,0.004219,0.588814,0.45614,1
0.893766,3,0.617021,0.060796,0.554894,0.004028,0.576126,0.460965,1
0.893766,3,0.638298,0.063558,0.556828,0.0043,0.577421,0.457018,1
0.893766,3,0.659574,0.064879,0.566052,0.004358,0.571207,0.445614,1
0.893766,3,0.680851,0.064129,0.583457,0.004325,0.565251,0.429825,1
0.893766,3,0.702128,0.068422,0.638798,0.004607,0.585707,0.471491,1
0.893766,3,0.723404,0.090219,0.724189,0.006064,0.642413,0.486404,1
0.893766,3,0.744681,0.150925,0.803927,0.010214,0.734852,0.342544,1
0.893766,3,0.765957,0.150925,0.814192,0.010301,0.727084,0.421491,1
0.893766,3,0.787234,0.099886,0.786819,0.006737,0.671932,0.396491,1
0.893766,3,0.808511,0.081722,0.756323,0.005501,0.632574,0.438158,1
0.893766,3,0.829787,0.073826,0.722702,0.004969,0.601502,0.452632,1
0.893766,3,0.851064,0.069593,0.707974,0.004684,0.574314,0.480263,1
0.893766,3,0.87234,0.05233,0.680601,0.003542,0.559037,0.465789,0
0.893766,3,0.893617,0.038369,0.638798,0.002607,0.520974,0.473684,0
0.893766,3,0.914894,0.032214,0.591491,0.002154,0.487053,0.441667,0
0.893766,3,0.93617,0.041852,0.609938,0.002844,0.453392,0.510088,0
0.893766,3,0.957447,0.034436,0.605623,0.002333,0.432936,0.491228,0
0.893766,3,0.978723,0.054341,0.589854,0.003664,0.499741,0.492544,0
0.893766,3,1.0,0.055782,0.578548,0.003752,0.491455,0.543421,0
0.89381,4,0.0,0.062027,0.566647,0.004144,0.453392,0.60614,0
0.89381,4,0.021277,0.058575,0.549688,0.00387,0.440963,0.607018,0
0.89381,4,0.042553,0.068392,0.518447,0.004564,0.504661,0.521491,1
0.89381,4,0.06383,0.053381,0.463106,0.003556,0.481875,0.528947,0
0.89381,4,0.085106,0.047466,0.409104,0.003081,0.454687,0.582895,0
0.89381,4,0.106383,0.044194,0.353317,0.002902,0.414034,0.668421,0
0.89381,4,0.12766,0.041041,0.302737,0.002678,0.391248,0.66886,0
0.89381,4,0.148936,0.037919,0.272092,0.002451,0.370016,0.685088,0
0.89381,4,0.170213,0.036478,0.255727,0.002349,0.356292,0.733772,0
0.89381,4,0.191489,0.038609,0.258852,0.002462,0.336613,0.774123,0
0.89381,4,0.212766,0.041371,0.293514,0.002648,0.344122,0.787281,0
0.89381,4,0.234043,0.043653,0.341863,0.002808,0.36173,0.720614,0
0.89381,4,0.255319,0.044073,0.424725,0.002892,0.424392,0.598246,0
0.89381,4,0.276596,0.049958,0.519488,0.003336,0.480062,0.490789,0
