date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.005354,5,0.085106,0.076858,0.366706,0.003467,0.422915,0.414912,0
0.005354,5,0.106383,0.075808,0.320292,0.003467,0.422915,0.414912,0
0.005354,5,0.12766,0.075808,0.274918,0.003467,0.422915,0.414912,0
0.005354,5,0.148936,0.075808,0.235495,0.003467,0.422915,0.414912,0
0.005354,5,0.170213,0.064519,0.209759,0.003467,0.422915,0.414912,0
0.005354,5,0.191489,0.064519,0.20842,0.003467,0.422915,0.414912,0
0.005354,5,0.212766,0.064519,0.238173,0.003467,0.422915,0.414912,0
0.005354,5,0.234043,0.077909,0.288456,0.003467,0.422915,0.414912,1
0.005354,5,0.255319,0.106071,0.390658,0.003467,0.422915,0.414912,1
0.005354,5,0.276596,0.106011,0.502827,0.003467,0.422915,0.414912,1
0.005354,5,0.297872,0.056173,0.543439,0.003467,0.422915,0.414912,0
0.005354,5,0.319149,0.088297,0.627789,0.003467,0.422915,0.414912,1
0.005354,5,0.340426,0.088297,0.662005,0.003467,0.422915,0.414912,1
0.005354,5,0.361702,0.064519,0.651294,0.003467,0.422915,0.414912,0
0.005354,5,0.382979,0.088297,0.676436,0.003467,0.422915,0.414912,1
0.005354,5,0.404255,0.085565,0.673907,0.003467,0.422915,0.414912,1
0.005354,5,0.425532,0.088297,0.651294,0.003467,0.422915,0.414912,1
0.005354,5,0.446809,0.064519,0.614549,0.003467,0.422915,0.414912,0
0.005354,5,0.468085,0.088297,0.588367,0.003467,0.422915,0.414912,1
0.005354,5,0.489362,0.088297,0.574383,0.003467,0.422915,0.414912,1
0.005354,5,0.510638,0.085565,0.556977,0.003467,0.422915,0.414912,1
0.005354,5,0.531915,0.088297,0.539423,0.003467,0.422915,0.414912,1
0.005354,5,0.553191,0.056173,0.525439,0.003467,0.422915,0.414912,0
0.005354,5,0.574468,0.056173,0.509819,0.003467,0.422915,0.414912,0
0.005354,5,0.595745,0.042572,0.495537,0.003467,0.422915,0.414912,0
0.005354,5,0.617021,0.054612,0.483041,0.003467,0.422915,0.414912,0
0.005354,5,0.638298,0.056173,0.471883,0.003467,0.422915,0.414912,0
0.005354,5,0.659574,0.042572,0.482594,0.003467,0.422915,0.414912,0
0.005354,5,0.680851,0.054612,0.504463,0.003467,0.422915,0.414912,0
0.005354,5,0.702128,0.088297,0.559209,0.003467,0.422915,0.414912,1
0.005354,5,0.723404,0.064519,0.642517,0.003467,0.422915,0.414912,0
0.005354,5,0.744681,0.064519,0.72404,0.003467,0.422915,0.414912,0
0.005354,5,0.765957,0.088297,0.725974,0.003467,0.422915,0.414912,1
0.005354,5,0.787234,0.064519,0.703957,0.003467,0.422915,0.414912,0
0.005354,5,0.808511,0.056173,0.670634,0.003467,0.422915,0.414912,0
0.005354,5,0.829787,0.057674,0.645195,0.003467,0.422915,0.414912,0
0.005354,5,0.851064,0.064519,0.620649,0.003467,0.422915,0.414912,0
0.005354,5,0.87234,0.057674,0.603838,0.003467,0.422915,0.414912,0
0.005354,5,0.893617,0.064519,0.562481,0.003467,0.422915,0.414912,0
0.005354,5,0.914894,0.054612,0.510711,0.003467,0.422915,0.414912,0
0.005354,5,0.93617,0.085565,0.554002,0.003467,0.422915,0.414912,1
0.005354,5,0.957447,0.085565,0.558018,0.003467,0.422915,0.414912,1
0.005354,5,0.978723,0.064519,0.569771,0.003467,0.422915,0.414912,0
0.005354,5,1.0,0.064519,0.543588,0.003467,0.422915,0.414912,0
0.005398,6,0.0,0.085565,0.541803,0.003467,0.422915,0.414912,1
0.005398,6,0.021277,0.085565,0.506992,0.003467,0.422915,0.414912,1
0.005398,6,0.042553,0.078209,0.477834,0.003467,0.422915,0.414912,1
0.005398,6,0.06383,0.064519,0.415204,0.003467,0.422915,0.414912,0
0.005398,6,0.085106,0.064519,0.351532,0.003467,0.422915,0.414912,0
0.005398,6,0.106383,0.064519,0.303184,0.003467,0.422915,0.414912,0
0.005398,6,0.12766,0.064519,0.260934,0.003467,0.422915,0.414912,0
0.005398,6,0.148936,0.064519,0.221363,0.003467,0.422915,0.414912,0
0.005398,6,0.170213,0.054251,0.194585,0.003467,0.422915,0.414912,0
0.005398,6,0.191489,0.054612,0.179262,0.003467,0.422915,0.414912,0
0.005398,6,0.212766,0.056713,0.179708,0.003467,0.422915,0.414912,0
0.005398,6,0.234043,0.056713,0.194287,0.003467,0.422915,0.414912,0
0.005398,6,0.255319,0.074817,0.227016,0.003467,0.422915,0.414912,1
0.005398,6,0.276596,0.063378,0.267777,0.003467,0.422915,0.414912,0
0.005398,6,0.297872,0.082683,0.318655,0.003467,0.422915,0.414912,1
0.005398,6,0.319149,0.097574,0.409848,0.003467,0.422915,0.414912,1
0.005398,6,0.340426,0.097574,0.501041,0.003467,0.422915,0.414912,1
0.005398,6,0.361702,0.107542,0.562779,0.003467,0.422915,0.414912,1
0.005398,6,0.382979,0.119731,0.6144,0.003467,0.422915,0.414912,1
0.005398,6,0.404255,0.119731,0.618863,0.003467,0.422915,0.414912,1
0.005398,6,0.425532,0.119731,0.591491,0.003467,0.422915,0.414912,1
0.005398,6,0.446809,0.090939,0.555043,0.003467,0.422915,0.414912,1
0.005398,6,0.468085,0.090939,0.522761,0.003467,0.422915,0.414912,1
0.005398,6,0.489362,0.090939,0.485719,0.003467,0.422915,0.414912,1
0.005398,6,0.510638,0.084574,0.464296,0.003467,0.422915,0.414912,1
0.005398,6,0.531915,0.074817,0.442577,0.003467,0.422915,0.414912,1
0.005398,6,0.553191,0.059865,0.421154,0.003467,0.422915,0.414912,0
0.005398,6,0.574468,0.063378,0.407617,0.003467,0.422915,0.414912,0
0.005398,6,0.595745,0.059865,0.391253,0.003467,0.422915,0.414912,0
0.005398,6,0.617021,0.059865,0.379203,0.003467,0.422915,0.414912,0
0.005398,6,0.638298,0.075958,0.374591,0.003467,0.422915,0.414912,1
0.005398,6,0.659574,0.084574,0.38069,0.003467,0.422915,0.414912,1
0.005398,6,0.680851,0.106311,0.407022,0.003467,0.422915,0.414912,1
0.005398,6,0.702128,0.097574,0.471288,0.003467,0.422915,0.414912,1
