x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
0.639427,0.025011,0.275029,0.223211,0.736471,0.676699,0.892180,0.086939,0.421922,0.029797,7.661207
0.026536,0.198838,0.649884,0.544941,0.220441,0.589266,0.809430,0.006499,0.805819,0.698139,8.330237
0.340251,0.155479,0.957213,0.336595,0.092746,0.096716,0.847494,0.603726,0.807128,0.729732,7.044929
0.378534,0.552041,0.829405,0.618520,0.861707,0.577352,0.704572,0.045824,0.227898,0.289388,18.160370
0.079792,0.232791,0.101001,0.277974,0.635684,0.364832,0.370181,0.209507,0.266978,0.936655,8.906078
0.171139,0.729127,0.163402,0.379455,0.989523,0.640000,0.556950,0.684614,0.842852,0.776000,13.729754
0.229048,0.032100,0.315453,0.267741,0.210983,0.942910,0.876368,0.314678,0.655439,0.395632,5.596713
0.264880,0.246628,0.561368,0.262742,0.584586,0.897823,0.399401,0.219321,0.997538,0.509526,7.096757
0.090909,0.047116,0.109649,0.627446,0.792079,0.422160,0.063528,0.381619,0.996121,0.529114,15.369995
0.011481,0.720722,0.681710,0.536970,0.266825,0.640962,0.111552,0.434765,0.453724,0.953816,7.265252
0.875853,0.263389,0.500586,0.178652,0.912628,0.870519,0.298445,0.638949,0.608970,0.152839,13.076806
0.778626,0.530354,0.000572,0.324156,0.019477,0.929099,0.878722,0.831666,0.307514,0.057925,16.714582
0.878010,0.946949,0.085653,0.485990,0.069213,0.760602,0.765834,0.128391,0.475282,0.549804,13.499607
0.423138,0.211798,0.539296,0.729931,0.201151,0.311716,0.995149,0.649878,0.438100,0.517576,13.134658
0.121004,0.224697,0.338086,0.588309,0.230115,0.220217,0.070993,0.631103,0.228942,0.905420,8.654829
0.238005,0.668978,0.214237,0.132312,0.935514,0.571043,0.472671,0.784619,0.807497,0.190410,12.133981
0.096931,0.431051,0.423579,0.467025,0.729076,0.673365,0.984165,0.098418,0.402621,0.339303,10.229382
0.190209,0.448614,0.421882,0.278545,0.249806,0.923266,0.443131,0.861349,0.550325,0.050588,6.227734
0.999282,0.836028,0.968996,0.926367,0.848696,0.166311,0.485641,0.213747,0.401040,0.058635,20.744181
0.265203,0.784071,0.455008,0.423007,0.957318,0.995423,0.555768,0.718408,0.154797,0.296708,17.137370
0.968709,0.579180,0.542195,0.747976,0.057165,0.584178,0.502850,0.852720,0.157433,0.960779,18.179471
0.595035,0.675213,0.235204,0.119887,0.890287,0.246215,0.594519,0.619382,0.419225,0.583672,16.889595
0.522783,0.934706,0.204259,0.716192,0.238686,0.395786,0.671690,0.299997,0.316177,0.751864,21.092463
0.998454,0.996096,0.073261,0.213154,0.265200,0.933259,0.880864,0.879270,0.369527,0.157747,7.758062
0.833745,0.703540,0.611678,0.987233,0.653976,0.007823,0.817104,0.299379,0.663389,0.938930,23.353256
0.107036,0.553224,0.272348,0.604830,0.717612,0.203597,0.634238,0.263984,0.488532,0.905336,12.892498
0.846104,0.092298,0.423576,0.276680,0.003546,0.771119,0.637113,0.261955,0.741231,0.551680,5.204943
0.075244,0.883106,0.903929,0.545590,0.834595,0.582510,0.148094,0.127446,0.308258,0.898981,15.025633
0.796122,0.860703,0.898925,0.210077,0.249530,0.102794,0.780116,0.884135,0.406377,0.620662,16.186635
0.864606,0.976206,0.810772,0.881416,0.024786,0.736564,0.332185,0.930816,0.802235,0.864064,17.478944
0.810749,0.266806,0.787375,0.108096,0.872167,0.858593,0.222434,0.816587,0.460303,0.305191,13.580028
0.023664,0.193130,0.328262,0.864353,0.966889,0.279125,0.641482,0.399678,0.981150,0.536216,13.521727
0.939237,0.115342,0.970401,0.178568,0.962534,0.265466,0.108403,0.434564,0.728545,0.313677,13.421831
0.385195,0.576588,0.254723,0.708785,0.001691,0.925575,0.538452,0.719430,0.741950,0.670629,13.983705
0.364221,0.069974,0.664238,0.330200,0.313916,0.848015,0.719754,0.300322,0.309285,0.408393,5.526181
0.127288,0.420446,0.940364,0.677318,0.902806,0.615515,0.300950,0.547937,0.000406,0.286914,17.320856
0.429888,0.579985,0.654706,0.464988,0.442160,0.213701,0.473186,0.901181,0.796025,0.169691,15.432422
0.632941,0.335188,0.818423,0.751138,0.672796,0.224641,0.199130,0.024425,0.244843,0.475136,19.697078
0.849738,0.072828,0.414441,0.629765,0.194435,0.696354,0.494377,0.243984,0.656058,0.005545,9.358574
0.106587,0.425146,0.175887,0.957966,0.517958,0.050218,0.249198,0.848336,0.456462,0.801417,13.974713
0.667578,0.987892,0.595452,0.950040,0.891426,0.612652,0.719274,0.504778,0.830569,0.547872,24.228100
0.474674,0.259192,0.247240,0.637661,0.765814,0.521300,0.626748,0.274597,0.077483,0.285728,14.259962
0.271715,0.319710,0.540152,0.138374,0.231261,0.693950,0.706419,0.064229,0.407599,0.542611,4.679994
0.420144,0.904838,0.584079,0.695523,0.856732,0.765595,0.380381,0.005896,0.351759,0.753475,21.023599
0.853448,0.953430,0.419021,0.747516,0.546132,0.603253,0.220539,0.219422,0.435836,0.029025,15.084471
0.404317,0.165045,0.467390,0.127628,0.622257,0.026966,0.394020,0.564392,0.027102,0.642750,7.782266
0.135699,0.461698,0.050285,0.379104,0.211660,0.326846,0.761230,0.379126,0.752010,0.831924,10.843912
0.019383,0.539419,0.999908,0.349960,0.650144,0.781233,0.651755,0.754233,0.949612,0.199361,12.490270
0.020380,0.152382,0.126221,0.669459,0.563970,0.217965,0.699465,0.766898,0.167789,0.607247,12.399785
0.819301,0.964721,0.108099,0.025678,0.311957,0.677347,0.958173,0.396654,0.715015,0.075996,10.514324
0.690614,0.627242,0.101901,0.772481,0.850293,0.600412,0.121055,0.983844,0.782635,0.347204,24.059987
0.505961,0.341231,0.849576,0.822331,0.105539,0.960788,0.635585,0.828707,0.707309,0.435487,16.775499
0.733795,0.965474,0.270082,0.808199,0.538173,0.483498,0.435574,0.731026,0.268396,0.851713,19.968047
0.881631,0.243863,0.464708,0.610332,0.378989,0.028700,0.850953,0.181840,0.212120,0.797832,13.903361
0.340339,0.880320,0.701184,0.276269,0.010151,0.948063,0.085613,0.720075,0.488578,0.758165,11.180528
0.490821,0.792933,0.093053,0.221596,0.691787,0.306206,0.581556,0.473260,0.530922,0.425504,17.045359
0.745935,0.330791,0.702855,0.270916,0.251404,0.120656,0.192584,0.119555,0.535864,0.762190,12.064405
0.484199,0.724585,0.976607,0.524637,0.282999,0.100526,0.194118,0.227483,0.179442,0.014148,20.767668
0.534135,0.274311,0.974295,0.553359,0.697417,0.126279,0.868461,0.490879,0.872720,0.574064,16.904214
0.184364,0.051377,0.941064,0.477729,0.822116,0.400707,0.074082,0.629446,0.053609,0.149198,13.282079
0.562840,0.303836,0.993918,0.118452,0.764443,0.606318,0.790741,0.225687,0.522573,0.450514,13.147048
0.990031,0.305380,0.621027,0.609631,0.740089,0.947590,0.207788,0.211025,0.660428,0.157057,18.921366
0.173814,0.075065,0.002676,0.450504,0.593811,0.291259,0.231476,0.706956,0.702988,0.454031,11.960393
0.787828,0.625058,0.661183,0.933668,0.425139,0.544562,0.647635,0.908411,0.826631,0.071410,19.882823
0.165923,0.307612,0.748958,0.569207,0.288611,0.124354,0.688678,0.699734,0.942676,0.500472,9.562093
0.039861,0.432029,0.322322,0.250368,0.091327,0.961911,0.835959,0.575199,0.950786,0.999572,4.148418
0.672282,0.269511,0.040232,0.756269,0.470501,0.651509,0.916073,0.181489,0.585330,0.634785,19.095806
0.347961,0.333308,0.670134,0.857733,0.329804,0.693674,0.288218,0.945194,0.813566,0.550097,14.391472
0.454826,0.314517,0.323274,0.970185,0.404175,0.514596,0.988119,0.657660,0.542594,0.413248,17.053893
0.756443,0.625409,0.759991,0.203558,0.549220,0.927673,0.438116,0.698250,0.121426,0.973147,16.973610
0.608872,0.239297,0.158378,0.550839,0.552251,0.093209,0.992257,0.912930,0.461448,0.117466,15.602629
0.716603,0.508872,0.273425,0.834724,0.980245,0.243731,0.551265,0.383586,0.921868,0.508241,22.363170
0.879326,0.864027,0.276247,0.790006,0.414942,0.934248,0.507738,0.820549,0.282839,0.298556,14.672465
0.489640,0.148595,0.538581,0.345124,0.551917,0.543430,0.455345,0.321777,0.188652,0.697498,6.588703
0.571798,0.233562,0.775544,0.043647,0.744705,0.705228,0.811409,0.386079,0.663689,0.820748,10.913092
0.037020,0.502291,0.590180,0.869700,0.874190,0.440306,0.525951,0.456928,0.722444,0.409979,13.673831
0.654781,0.154361,0.469491,0.969204,0.338561,0.692705,0.649837,0.851765,0.852341,0.859342,13.889492
0.718717,0.759402,0.872383,0.035899,0.068421,0.631161,0.920929,0.997426,0.746766,0.433971,13.968499
0.098443,0.633748,0.872579,0.443679,0.694001,0.903424,0.045991,0.796143,0.293368,0.374841,13.381468
0.565928,0.792519,0.169984,0.078968,0.870840,0.619710,0.240830,0.912829,0.143118,0.461150,18.166809
0.253977,0.255327,0.009397,0.804633,0.901209,0.677611,0.157976,0.441730,0.345566,0.587572,18.714121
0.250098,0.845304,0.199217,0.384693,0.483208,0.237206,0.571923,0.574812,0.992692,0.295231,13.431129
0.977944,0.658230,0.274480,0.565929,0.685799,0.744669,0.049044,0.606406,0.496727,0.904155,18.699683
0.607065,0.352321,0.636618,0.620891,0.677764,0.720928,0.659182,0.838337,0.628248,0.903404,17.940833
0.646341,0.308933,0.440823,0.579574,0.732360,0.090133,0.295110,0.747481,0.175640,0.132160,12.811146
0.530852,0.913487,0.830473,0.256970,0.824690,0.481848,0.806488,0.746559,0.338715,0.115170,18.212449
0.962893,0.140757,0.966500,0.860141,0.724217,0.979942,0.967270,0.804588,0.365775,0.790682,21.940872
0.454786,0.672828,0.672341,0.584560,0.822417,0.940292,0.108346,0.233822,0.025025,0.884235,18.859434
0.561407,0.915256,0.221367,0.063217,0.823855,0.909388,0.302190,0.408296,0.139777,0.946262,15.904514
0.097192,0.887259,0.135664,0.453644,0.670486,0.743140,0.945974,0.419127,0.742269,0.154523,14.317407
0.414885,0.099022,0.489347,0.408116,0.951522,0.032716,0.370530,0.443383,0.950555,0.855450,11.362565
0.544466,0.977843,0.358674,0.398140,0.189809,0.122160,0.848033,0.454717,0.662769,0.641704,16.167400
0.597146,0.021357,0.786795,0.243569,0.125924,0.564578,0.068610,0.765157,0.207157,0.215951,5.720639
0.147554,0.900531,0.002836,0.858406,0.144688,0.129992,0.250654,0.174497,0.661058,0.025780,17.653405
0.014860,0.789985,0.237932,0.323771,0.174246,0.052399,0.741718,0.526086,0.745665,0.476246,6.061415
0.109054,0.503839,0.945416,0.043365,0.783227,0.866981,0.521451,0.458043,0.964026,0.060825,8.853857
0.478982,0.401617,0.686097,0.490269,0.909701,0.073491,0.080790,0.608297,0.065682,0.275016,14.980851
0.325185,0.994628,0.530557,0.453715,0.605427,0.099178,0.701779,0.852793,0.650917,0.768963,15.148002
0.720840,0.215023,0.451555,0.228494,0.338932,0.453499,0.415990,0.095086,0.426764,0.665108,8.300570
0.922985,0.067133,0.831772,0.093230,0.096564,0.738796,0.811769,0.556371,0.586465,0.561586,5.959688
0.329646,0.122231,0.353598,0.665341,0.750284,0.868092,0.721061,0.968399,0.600410,0.351646,11.485552
0.656736,0.224245,0.108218,0.845373,0.367561,0.762606,0.574100,0.807221,0.845155,0.974547,17.499457
0.818427,0.613573,0.642699,0.026254,0.929084,0.829461,0.267448,0.180416,0.702699,0.308985,15.255790
0.869863,0.566321,0.400784,0.141875,0.633172,0.030657,0.746112,0.215133,0.419832,0.340896,14.872307
0.370053,0.721596,0.776836,0.567594,0.084957,0.052609,0.157410,0.617838,0.673969,0.272103,14.466555
0.442044,0.273167,0.754943,0.113818,0.429914,0.283246,0.678486,0.486633,0.667133,0.045417,7.309771
0.395263,0.599325,0.007687,0.301419,0.211234,0.137235,0.255520,0.328122,0.007730,0.747014,16.132008
0.703671,0.500262,0.833354,0.806200,0.072075,0.861764,0.042302,0.018742,0.921162,0.862110,20.457031
0.575759,0.573400,0.709499,0.417694,0.115173,0.020857,0.324768,0.801322,0.618125,0.832026,14.616383
0.844484,0.243316,0.588871,0.523963,0.395767,0.310275,0.339513,0.333069,0.168133,0.510483,13.185116
0.114027,0.509952,0.905923,0.349375,0.727379,0.818949,0.815037,0.236269,0.146444,0.197272,10.890653
0.655509,0.177146,0.772848,0.494117,0.754446,0.759877,0.448905,0.924154,0.564492,0.635298,12.756148
0.624522,0.864247,0.627217,0.150957,0.068286,0.442208,0.302820,0.274674,0.056172,0.507337,11.690538
0.056890,0.831697,0.076731,0.864250,0.855293,0.615008,0.507068,0.462712,0.554316,0.791818,19.001688
0.895877,0.449734,0.809816,0.651837,0.321527,0.475629,0.150861,0.061874,0.103502,0.899127,18.707249
0.504549,0.172559,0.247744,0.437758,0.439422,0.522748,0.158746,0.372852,0.282894,0.408769,11.866487
0.338367,0.597886,0.789227,0.647305,0.065912,0.094506,0.678379,0.284147,0.723734,0.656564,16.102657
0.333362,0.582740,0.141428,0.349821,0.967697,0.698480,0.391958,0.595041,0.938002,0.309582,15.510984
0.376679,0.791662,0.813185,0.670116,0.828959,0.738775,0.685414,0.526393,0.646025,0.423406,20.251194
0.180263,0.214193,0.947668,0.486271,0.226543,0.137565,0.077165,0.844428,0.101141,0.770875,11.937854
0.835120,0.883682,0.037747,0.336764,0.766308,0.131049,0.376720,0.162247,0.831345,0.771098,19.023803
0.437673,0.410859,0.676363,0.237530,0.444199,0.284928,0.748537,0.448928,0.534011,0.309468,10.011229
0.808624,0.469016,0.835113,0.367841,0.947130,0.984440,0.461680,0.281772,0.381872,0.527460,21.750646
0.801259,0.138399,0.250003,0.641179,0.874117,0.554541,0.102590,0.845892,0.851166,0.285063,15.058488
0.763117,0.272791,0.905306,0.147349,0.437473,0.946413,0.222038,0.451128,0.349585,0.026670,14.145221
0.235778,0.994525,0.374913,0.028188,0.930826,0.839176,0.649961,0.791381,0.137600,0.286879,12.354941
0.829762,0.696072,0.138793,0.705536,0.448601,0.005251,0.079226,0.255924,0.834963,0.548804,21.437667
0.111187,0.288102,0.301151,0.047749,0.419826,0.793899,0.457114,0.110858,0.905147,0.596739,3.159618
0.016435,0.515376,0.241938,0.143577,0.429239,0.614810,0.240564,0.416568,0.664371,0.085614,5.549593
0.526059,0.507328,0.988331,0.554152,0.390454,0.470135,0.635671,0.981039,0.253650,0.016242,19.639799
0.788520,0.344802,0.732941,0.628257,0.771501,0.735187,0.332519,0.044336,0.546014,0.813509,19.553567
0.464623,0.695389,0.631736,0.811498,0.063101,0.776190,0.457680,0.293443,0.043806,0.199470,18.821493
0.041906,0.933371,0.515384,0.989123,0.543031,0.253314,0.753291,0.191103,0.356974,0.780842,14.434162
0.124475,0.368019,0.889487,0.743308,0.894637,0.386645,0.973724,0.496203,0.497523,0.924310,15.703696
0.519276,0.801148,0.727081,0.078927,0.602453,0.822341,0.545474,0.321211,0.080069,0.660919,14.014614
0.426116,0.689765,0.351547,0.042355,0.870037,0.352559,0.998151,0.274555,0.980027,0.947904,14.464808
0.075041,0.637513,0.363311,0.801096,0.679411,0.952789,0.142779,0.607573,0.781312,0.034799,14.862648
0.366328,0.382854,0.567245,0.605095,0.679062,0.948824,0.372013,0.763084,0.573922,0.529460,14.513475
0.398034,0.649561,0.249612,0.113449,0.735675,0.499044,0.386987,0.561673,0.261777,0.260290,10.162520
0.285577,0.916479,0.491200,0.122637,0.852826,0.452043,0.898679,0.445111,0.087791,0.681929,13.928843
0.845521,0.319588,0.347425,0.064939,0.542171,0.891332,0.851362,0.711809,0.927324,0.637700,11.654729
0.121362,0.200980,0.138877,0.790373,0.026284,0.554021,0.368911,0.803662,0.551647,0.611948,10.261216
0.086215,0.309291,0.999595,0.718870,0.525696,0.769165,0.823339,0.073751,0.972380,0.642339,14.209978
0.344515,0.877960,0.780263,0.639794,0.181963,0.966265,0.432618,0.910712,0.055413,0.124161,17.481032
0.153015,0.164657,0.322661,0.709332,0.346023,0.940904,0.894926,0.845934,0.250605,0.635057,9.752127
0.302825,0.533478,0.502573,0.168636,0.941607,0.154194,0.658733,0.720633,0.605139,0.842530,11.092276
0.563618,0.825236,0.028373,0.045462,0.641454,0.576771,0.651130,0.766959,0.416587,0.638991,16.645922
0.289672,0.956650,0.482945,0.804688,0.684991,0.297434,0.072973,0.059913,0.439605,0.484251,19.142002
0.204023,0.606660,0.312582,0.718363,0.734200,0.860777,0.975374,0.130766,0.370540,0.561651,14.876689
