scenario,strategia,n_ripetizioni,latenza_media,latenza_std,falsi_allarmi_per_1000_media,falsi_allarmi_per_1000_std,tasso_mancate_media,tasso_mancate_std,n_eventi_media,seed_con_falsi_allarmi,n_rilevati_totali,n_drift_reali_totali
stazionario,KS,20,,,0.0603448275862069,0.15683970171258838,,,0.35,3,0,0
stazionario,ADWIN,20,,,0.0,0.0,,,0,0,0,0
stazionario,DDM,20,,,0.025862068965517244,0.061564038177093536,,,0.15,3,0,0
stazionario,PageHinkley,20,,,0.017241379310344827,0.05172413793103449,,,0.1,2,0,0
stazionario,Ensemble-MAJORITY,20,,,0.0,0.0,,,0,0,0,0
improvviso,KS,20,47.05,15.213398699830357,0.0660377358490566,0.17163589998736087,0.0,0.0,1.8,3,20,20
improvviso,ADWIN,20,58.2,15.26302722267113,0.0,0.0,0.0,0.0,1,0,20,20
improvviso,DDM,20,100.5,36.93169370608394,0.02830188679245283,0.06737196630700802,0.0,0.0,1.15,3,20,20
improvviso,PageHinkley,20,106.1,22.25286498408688,0.009433962264150945,0.04112168814661013,0.0,0.0,1.05,1,20,20
improvviso,Ensemble-MAJORITY,20,76.5,28.968085887748952,0.009433962264150945,0.04112168814661013,0.0,0.0,1.8,1,20,20
graduale,KS,20,351.46153846153845,104.05665275343293,0.9056603773584906,0.7815967991399237,0.35,0.47696960070847283,7.6,18,13,20
graduale,ADWIN,20,429.11764705882354,48.4317377139524,0.169811320754717,0.10160688315348122,0.15,0.3570714214271425,1.75,16,17,20
graduale,DDM,20,412.75,43.68280554176895,0.2924528301886793,0.09386673934968114,0.4,0.4898979485566356,2.15,20,12,20
graduale,PageHinkley,20,454.15384615384613,34.015485509365725,0.24528301886792456,0.08646369235765737,0.35,0.47696960070847283,1.95,20,13,20
graduale,Ensemble-MAJORITY,20,421.5,65.5356137277028,0.3584905660377359,0.11783015091317732,0.7,0.458257569495584,2.45,20,6,20
incrementale,KS,20,408.2857142857143,99.83588574071275,0.6320754716981132,0.4893853716733184,0.3,0.458257569495584,4.9,17,14,20
incrementale,ADWIN,20,449.2857142857143,44.79066958232097,0.15094339622641512,0.09620791535080726,0.3,0.458257569495584,1.5,15,14,20
incrementale,DDM,20,422.54545454545456,55.46393363154382,0.30188679245283023,0.11001796028010001,0.45,0.49749371855331,2.15,20,11,20
incrementale,PageHinkley,20,452.25,36.373353341881106,0.2641509433962264,0.09243357519936521,0.4,0.4898979485566356,2,20,12,20
incrementale,Ensemble-MAJORITY,20,450.3333333333333,43.01420953850276,0.3207547169811321,0.12081366485722356,0.55,0.49749371855331,2.5,20,9,20
ricorrente,KS,20,47.675,15.372276181489845,0.03125,0.13621559198564606,0.475,0.10897247358851683,1.65,1,21,40
ricorrente,ADWIN,20,64.6,10.613199329137279,0.0,0.0,0.0,0.0,2,0,40,40
ricorrente,DDM,20,100.5,36.93169370608394,0.03125,0.07438987946398802,0.5,0.0,1.15,3,20,40
ricorrente,PageHinkley,20,106.1,22.25286498408688,0.010416666666666668,0.04540519732854868,0.5,0.0,1.05,1,20,40
ricorrente,Ensemble-MAJORITY,20,76.1,28.98603111845428,0.010416666666666668,0.04540519732854868,0.475,0.10897247358851683,1.85,1,21,40
