scenario,strategia,seed,n_drift_reali,n_eventi,n_rilevati,n_falsi_allarmi,n_mancati,n_duplicati,latenza_media,falsi_allarmi_per_1000
stazionario,KS,1000,0,0,0,0,0,0,,0.0
stazionario,KS,1001,0,0,0,0,0,0,,0.0
stazionario,KS,1002,0,3,0,3,0,0,,0.5172413793103449
stazionario,KS,1003,0,0,0,0,0,0,,0.0
stazionario,KS,1004,0,0,0,0,0,0,,0.0
stazionario,KS,1005,0,0,0,0,0,0,,0.0
stazionario,KS,1006,0,1,0,1,0,0,,0.1724137931034483
stazionario,KS,1007,0,0,0,0,0,0,,0.0
stazionario,KS,1008,0,0,0,0,0,0,,0.0
stazionario,KS,1009,0,0,0,0,0,0,,0.0
stazionario,KS,1010,0,0,0,0,0,0,,0.0
stazionario,KS,1011,0,3,0,3,0,0,,0.5172413793103449
stazionario,KS,1012,0,0,0,0,0,0,,0.0
stazionario,KS,1013,0,0,0,0,0,0,,0.0
stazionario,KS,1014,0,0,0,0,0,0,,0.0
stazionario,KS,1015,0,0,0,0,0,0,,0.0
stazionario,KS,1016,0,0,0,0,0,0,,0.0
stazionario,KS,1017,0,0,0,0,0,0,,0.0
stazionario,KS,1018,0,0,0,0,0,0,,0.0
stazionario,KS,1019,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1000,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1001,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1002,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1003,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1004,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1005,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1006,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1007,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1008,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1009,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1010,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1011,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1012,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1013,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1014,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1015,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1016,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1017,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1018,0,0,0,0,0,0,,0.0
stazionario,ADWIN,1019,0,0,0,0,0,0,,0.0
stazionario,DDM,1000,0,0,0,0,0,0,,0.0
stazionario,DDM,1001,0,1,0,1,0,0,,0.1724137931034483
stazionario,DDM,1002,0,0,0,0,0,0,,0.0
stazionario,DDM,1003,0,0,0,0,0,0,,0.0
stazionario,DDM,1004,0,0,0,0,0,0,,0.0
stazionario,DDM,1005,0,0,0,0,0,0,,0.0
stazionario,DDM,1006,0,1,0,1,0,0,,0.1724137931034483
stazionario,DDM,1007,0,0,0,0,0,0,,0.0
stazionario,DDM,1008,0,0,0,0,0,0,,0.0
stazionario,DDM,1009,0,0,0,0,0,0,,0.0
stazionario,DDM,1010,0,0,0,0,0,0,,0.0
stazionario,DDM,1011,0,0,0,0,0,0,,0.0
stazionario,DDM,1012,0,0,0,0,0,0,,0.0
stazionario,DDM,1013,0,0,0,0,0,0,,0.0
stazionario,DDM,1014,0,1,0,1,0,0,,0.1724137931034483
stazionario,DDM,1015,0,0,0,0,0,0,,0.0
stazionario,DDM,1016,0,0,0,0,0,0,,0.0
stazionario,DDM,1017,0,0,0,0,0,0,,0.0
stazionario,DDM,1018,0,0,0,0,0,0,,0.0
stazionario,DDM,1019,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1000,0,1,0,1,0,0,,0.1724137931034483
stazionario,PageHinkley,1001,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1002,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1003,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1004,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1005,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1006,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1007,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1008,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1009,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1010,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1011,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1012,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1013,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1014,0,1,0,1,0,0,,0.1724137931034483
stazionario,PageHinkley,1015,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1016,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1017,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1018,0,0,0,0,0,0,,0.0
stazionario,PageHinkley,1019,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1000,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1001,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1002,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1003,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1004,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1005,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1006,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1007,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1008,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1009,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1010,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1011,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1012,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1013,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1014,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1015,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1016,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1017,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1018,0,0,0,0,0,0,,0.0
stazionario,Ensemble-MAJORITY,1019,0,0,0,0,0,0,,0.0
improvviso,KS,1000,1,1,1,0,0,0,56,0.0
improvviso,KS,1001,1,2,1,0,0,1,30,0.0
improvviso,KS,1002,1,4,1,3,0,0,25,0.5660377358490566
improvviso,KS,1003,1,1,1,0,0,0,45,0.0
improvviso,KS,1004,1,1,1,0,0,0,43,0.0
improvviso,KS,1005,1,1,1,0,0,0,37,0.0
improvviso,KS,1006,1,2,1,0,0,1,45,0.0
improvviso,KS,1007,1,4,1,3,0,0,74,0.5660377358490566
improvviso,KS,1008,1,1,1,0,0,0,61,0.0
improvviso,KS,1009,1,1,1,0,0,0,50,0.0
improvviso,KS,1010,1,5,1,0,0,4,67,0.0
improvviso,KS,1011,1,1,1,0,0,0,25,0.0
improvviso,KS,1012,1,1,1,0,0,0,56,0.0
improvviso,KS,1013,1,1,1,0,0,0,57,0.0
improvviso,KS,1014,1,1,1,0,0,0,20,0.0
improvviso,KS,1015,1,1,1,0,0,0,36,0.0
improvviso,KS,1016,1,1,1,0,0,0,56,0.0
improvviso,KS,1017,1,2,1,1,0,0,73,0.18867924528301888
improvviso,KS,1018,1,1,1,0,0,0,41,0.0
improvviso,KS,1019,1,4,1,0,0,3,44,0.0
improvviso,ADWIN,1000,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1001,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1002,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1003,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1004,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1005,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1006,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1007,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1008,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1009,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1010,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1011,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1012,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1013,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1014,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1015,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1016,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1017,1,1,1,0,0,0,79,0.0
improvviso,ADWIN,1018,1,1,1,0,0,0,47,0.0
improvviso,ADWIN,1019,1,1,1,0,0,0,47,0.0
improvviso,DDM,1000,1,1,1,0,0,0,191,0.0
improvviso,DDM,1001,1,2,1,1,0,0,104,0.18867924528301888
improvviso,DDM,1002,1,1,1,0,0,0,136,0.0
improvviso,DDM,1003,1,1,1,0,0,0,145,0.0
improvviso,DDM,1004,1,1,1,0,0,0,86,0.0
improvviso,DDM,1005,1,1,1,0,0,0,108,0.0
improvviso,DDM,1006,1,2,1,1,0,0,76,0.18867924528301888
improvviso,DDM,1007,1,1,1,0,0,0,91,0.0
improvviso,DDM,1008,1,1,1,0,0,0,79,0.0
improvviso,DDM,1009,1,1,1,0,0,0,85,0.0
improvviso,DDM,1010,1,2,1,1,0,0,81,0.18867924528301888
improvviso,DDM,1011,1,1,1,0,0,0,138,0.0
improvviso,DDM,1012,1,1,1,0,0,0,105,0.0
improvviso,DDM,1013,1,1,1,0,0,0,99,0.0
improvviso,DDM,1014,1,1,1,0,0,0,34,0.0
improvviso,DDM,1015,1,1,1,0,0,0,48,0.0
improvviso,DDM,1016,1,1,1,0,0,0,138,0.0
improvviso,DDM,1017,1,1,1,0,0,0,130,0.0
improvviso,DDM,1018,1,1,1,0,0,0,48,0.0
improvviso,DDM,1019,1,1,1,0,0,0,88,0.0
improvviso,PageHinkley,1000,1,1,1,0,0,0,123,0.0
improvviso,PageHinkley,1001,1,1,1,0,0,0,127,0.0
improvviso,PageHinkley,1002,1,1,1,0,0,0,60,0.0
improvviso,PageHinkley,1003,1,1,1,0,0,0,111,0.0
improvviso,PageHinkley,1004,1,1,1,0,0,0,112,0.0
improvviso,PageHinkley,1005,1,1,1,0,0,0,111,0.0
improvviso,PageHinkley,1006,1,1,1,0,0,0,103,0.0
improvviso,PageHinkley,1007,1,1,1,0,0,0,130,0.0
improvviso,PageHinkley,1008,1,1,1,0,0,0,110,0.0
improvviso,PageHinkley,1009,1,1,1,0,0,0,122,0.0
improvviso,PageHinkley,1010,1,2,1,1,0,0,130,0.18867924528301888
improvviso,PageHinkley,1011,1,1,1,0,0,0,89,0.0
improvviso,PageHinkley,1012,1,1,1,0,0,0,116,0.0
improvviso,PageHinkley,1013,1,1,1,0,0,0,106,0.0
improvviso,PageHinkley,1014,1,1,1,0,0,0,62,0.0
improvviso,PageHinkley,1015,1,1,1,0,0,0,78,0.0
improvviso,PageHinkley,1016,1,1,1,0,0,0,141,0.0
improvviso,PageHinkley,1017,1,1,1,0,0,0,122,0.0
improvviso,PageHinkley,1018,1,1,1,0,0,0,81,0.0
improvviso,PageHinkley,1019,1,1,1,0,0,0,88,0.0
improvviso,Ensemble-MAJORITY,1000,1,1,1,0,0,0,123,0.0
improvviso,Ensemble-MAJORITY,1001,1,2,1,0,0,1,79,0.0
improvviso,Ensemble-MAJORITY,1002,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1003,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1004,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1005,1,2,1,0,0,1,79,0.0
improvviso,Ensemble-MAJORITY,1006,1,2,1,0,0,1,79,0.0
improvviso,Ensemble-MAJORITY,1007,1,1,1,0,0,0,130,0.0
improvviso,Ensemble-MAJORITY,1008,1,1,1,0,0,0,110,0.0
improvviso,Ensemble-MAJORITY,1009,1,1,1,0,0,0,122,0.0
improvviso,Ensemble-MAJORITY,1010,1,3,1,1,0,1,79,0.18867924528301888
improvviso,Ensemble-MAJORITY,1011,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1012,1,1,1,0,0,0,116,0.0
improvviso,Ensemble-MAJORITY,1013,1,2,1,0,0,1,79,0.0
improvviso,Ensemble-MAJORITY,1014,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1015,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1016,1,2,1,0,0,1,79,0.0
improvviso,Ensemble-MAJORITY,1017,1,2,1,0,0,1,79,0.0
improvviso,Ensemble-MAJORITY,1018,1,2,1,0,0,1,47,0.0
improvviso,Ensemble-MAJORITY,1019,1,2,1,0,0,1,47,0.0
graduale,KS,1000,1,6,1,4,0,1,434,0.7547169811320755
graduale,KS,1001,1,12,1,0,0,11,202,0.0
graduale,KS,1002,1,6,1,4,0,1,317,0.7547169811320755
graduale,KS,1003,1,3,0,3,1,0,,0.5660377358490566
graduale,KS,1004,1,20,1,17,0,2,464,3.207547169811321
graduale,KS,1005,1,9,1,6,0,2,436,1.1320754716981132
graduale,KS,1006,1,7,1,1,0,5,241,0.18867924528301888
graduale,KS,1007,1,13,0,13,1,0,,2.452830188679245
graduale,KS,1008,1,3,0,3,1,0,,0.5660377358490566
graduale,KS,1009,1,5,1,4,0,0,407,0.7547169811320755
graduale,KS,1010,1,1,0,1,1,0,,0.18867924528301888
graduale,KS,1011,1,6,1,0,0,5,184,0.0
